date,word,letter1,letter2,letter3,letter4,letter5,letter1rank,letter2rank,letter3rank,letter4rank,letter5rank,rarityscore,positionalraritypercentile,summativeraritypercentile
19-Jun-21,cigar,c,i,g,a,r,2,4,14,2,7,29,0.35,0.624884366
20-Jun-21,rebut,r,e,b,u,t,10,3,16,16,5,50,0.90,0.590425532
21-Jun-21,sissy,s,i,s,s,y,1,4,10,9,3,27,0.28,0.030835646
22-Jun-21,humph,h,u,m,p,h,13,5,11,13,11,53,0.93,0.993216158
23-Jun-21,awake,a,w,a,k,e,6,15,1,10,2,34,0.53,0.738282455
24-Jun-21,blush,b,l,u,s,h,3,7,8,9,11,38,0.65,0.832947888
25-Jun-21,focal,f,o,c,a,l,11,2,12,2,9,36,0.59,0.712997225
26-Jun-21,evade,e,v,a,d,e,17,22,1,11,2,53,0.93,0.490826395
27-Jun-21,naval,n,a,v,a,l,16,1,19,2,9,47,0.86,0.624884366
28-Jun-21,serve,s,e,r,v,e,1,3,2,20,2,28,0.31,0.220629047
29-Jun-21,heath,h,e,a,t,h,13,3,1,3,11,31,0.42,0.653484428
30-Jun-21,dwarf,d,w,a,r,f,8,15,1,7,18,49,0.89,0.947656491
1-Jul-21,model,m,o,d,e,l,7,2,13,1,9,32,0.46,0.452898551
2-Jul-21,karma,k,a,r,m,a,15,1,2,15,6,39,0.68,0.653484428
3-Jul-21,stink,s,t,i,n,k,1,11,3,5,13,33,0.49,0.590425532
4-Jul-21,grade,g,r,a,d,e,9,6,1,11,2,29,0.35,0.417514647
5-Jul-21,quiet,q,u,i,e,t,25,5,3,1,5,39,0.68,0.832947888
6-Jul-21,bench,b,e,n,c,h,3,3,5,14,11,36,0.59,0.928230034
7-Jul-21,abate,a,b,a,t,e,6,19,1,3,2,31,0.42,0.2804502
8-Jul-21,feign,f,e,i,g,n,11,3,3,12,8,37,0.62,0.873342584
9-Jul-21,major,m,a,j,o,r,7,1,25,8,7,48,0.88,0.810823312
10-Jul-21,death,d,e,a,t,h,8,3,1,3,11,26,0.25,0.490826395
11-Jul-21,fresh,f,r,e,s,h,11,6,6,9,11,43,0.79,0.624884366
12-Jul-21,crust,c,r,u,s,t,2,6,8,9,5,30,0.39,0.380820228
13-Jul-21,stool,s,t,o,o,l,1,11,4,8,9,33,0.49,0.060206599
14-Jul-21,colon,c,o,l,o,n,2,2,7,8,8,27,0.28,0.380820228
15-Jul-21,abase,a,b,a,s,e,6,19,1,9,2,37,0.62,0.103299414
16-Jul-21,marry,m,a,r,r,y,7,1,2,7,3,20,0.09,0.490826395
17-Jul-21,react,r,e,a,c,t,10,3,1,14,5,33,0.49,0.19164354
18-Jul-21,batty,b,a,t,t,y,3,1,9,3,3,19,0.08,0.763259328
19-Jul-21,pride,p,r,i,d,e,4,6,3,11,2,26,0.25,0.417514647
20-Jul-21,floss,f,l,o,s,s,11,7,4,9,1,32,0.46,0.249537465
21-Jul-21,helix,h,e,l,i,x,13,3,7,4,19,46,0.84,0.905565834
22-Jul-21,croak,c,r,o,a,k,2,6,4,2,13,27,0.28,0.624884366
23-Jul-21,staff,s,t,a,f,f,1,11,1,19,18,50,0.90,0.832947888
24-Jul-21,paper,p,a,p,e,r,4,1,15,1,7,28,0.31,0.417514647
25-Jul-21,unfed,u,n,f,e,d,21,9,21,1,4,56,0.95,0.832947888
