id,letter,letter1count,letter1rank,letter2count,letter2rank,letter3count,letter3rank,letter4count,letter4rank,letter5count,letter5rank,totalcount,totalrank
1,a,737,6,2263,1,1236,1,1074,2,680,6,5990,3
2,b,909,3,81,19,335,16,243,17,59,22,1627,18
3,c,922,2,176,14,392,12,411,14,127,17,2028,13
4,d,685,8,84,18,390,13,471,11,823,4,2453,11
5,e,303,17,1628,3,882,6,2327,1,1522,2,6662,2
6,f,598,11,24,24,178,21,233,19,82,18,1115,20
7,g,638,9,76,20,364,14,423,12,143,16,1644,17
8,h,489,13,546,8,120,24,235,18,370,11,1760,16
9,i,165,23,1383,4,1051,3,880,4,280,12,3759,6
10,j,202,20,11,26,46,25,29,24,3,26,291,24
11,k,376,15,95,16,272,17,503,10,259,13,1505,19
12,l,577,12,699,7,848,7,771,6,476,9,3371,7
13,m,693,7,188,13,511,11,402,15,182,14,1976,15
14,n,325,16,345,9,964,5,788,5,530,8,2952,9
15,o,262,18,2096,2,993,4,698,8,389,10,4438,4
16,p,859,4,231,12,364,15,418,13,147,15,2019,14
17,q,78,25,15,25,13,26,2,26,4,24,112,26
18,r,628,10,940,6,1198,2,719,7,673,7,4158,5
19,s,1565,1,93,17,533,10,516,9,3958,1,6665,1
20,t,815,5,239,11,616,9,898,3,727,5,3295,8
21,u,189,21,1187,5,667,8,401,16,67,20,2511,10
22,v,242,19,52,22,240,19,156,20,4,25,694,22
23,w,413,14,163,15,271,18,128,21,64,21,1039,21
24,x,16,26,57,21,133,23,12,25,70,19,288,25
25,y,181,22,271,10,213,20,108,23,1301,3,2074,12
26,z,105,24,29,23,142,22,126,22,32,23,434,23
