id,word,letter1,letter2,letter3,letter4,letter5,letter1positionalrank,letter2positionalrank,letter3positionalrank,letter4positionalrank,letter5positionalrank,letter1totalrank,letter2totalrank,letter3totalrank,letter4totalrank,letter5totalrank,positionalrarityscore,summativerarityscore,answer,positionalraritypercentile,summativeraritypercentile
1,aahed,a,a,h,e,d,6,1,24,1,4,3,3,16,2,11,36,35,N,0.590271354,0.312365094
2,aalii,a,a,l,i,i,6,1,7,4,12,3,3,7,6,6,30,25,N,0.39,0.073851372
3,aargh,a,a,r,g,h,6,1,2,12,11,3,3,5,17,16,32,44,N,0.46,0.624884366
4,aarti,a,a,r,t,i,6,1,2,3,12,3,3,5,8,6,24,25,N,0.19,0.073851372
5,abaca,a,b,a,c,a,6,19,1,14,6,3,18,3,13,3,46,40,N,0.84,0.490826395
6,abaci,a,b,a,c,i,6,19,1,14,12,3,18,3,13,6,52,43,N,0.92,0.590425532
7,aback,a,b,a,c,k,6,19,1,14,13,3,18,3,13,19,53,56,Y,0.93,0.905565834
8,abacs,a,b,a,c,s,6,19,1,14,1,3,18,3,13,1,41,38,N,0.74,0.417514647
9,abaft,a,b,a,f,t,6,19,1,19,5,3,18,3,20,8,50,52,N,0.9,0.832947888
10,abaka,a,b,a,k,a,6,19,1,10,6,3,18,3,19,3,42,46,N,0.76,0.684397163
11,abamp,a,b,a,m,p,6,19,1,15,15,3,18,3,15,14,56,53,N,0.95,0.852605612
12,aband,a,b,a,n,d,6,19,1,5,4,3,18,3,9,11,35,44,N,0.56,0.624884366
13,abase,a,b,a,s,e,6,19,1,9,2,3,18,3,1,2,37,27,Y,0.62,0.103299414
14,abash,a,b,a,s,h,6,19,1,9,11,3,18,3,1,16,46,41,N,0.84,0.52436016
15,abask,a,b,a,s,k,6,19,1,9,13,3,18,3,1,19,48,44,N,0.88,0.624884366
16,abate,a,b,a,t,e,6,19,1,3,2,3,18,3,8,2,31,34,Y,0.42,0.2804502
17,abaya,a,b,a,y,a,6,19,1,23,6,3,18,3,12,3,55,39,N,0.95,0.452898551
18,abbas,a,b,b,a,s,6,19,16,2,1,3,18,18,3,1,44,43,N,0.81,0.590425532
19,abbed,a,b,b,e,d,6,19,16,1,4,3,18,18,2,11,46,52,N,0.84,0.832947888
20,abbes,a,b,b,e,s,6,19,16,1,1,3,18,18,2,1,43,42,N,0.79,0.558510638
21,abbey,a,b,b,e,y,6,19,16,1,3,3,18,18,2,12,45,53,Y,0.83,0.852605612
22,abbot,a,b,b,o,t,6,19,16,8,5,3,18,18,4,8,54,51,Y,0.94,0.810823312
23,abcee,a,b,c,e,e,6,19,12,1,2,3,18,13,2,2,40,38,N,0.71,0.417514647
24,abeam,a,b,e,a,m,6,19,6,2,14,3,18,2,3,15,47,41,N,0.86,0.52436016
25,abear,a,b,e,a,r,6,19,6,2,7,3,18,2,3,5,40,31,N,0.71,0.19164354
26,abele,a,b,e,l,e,6,19,6,6,2,3,18,2,7,2,39,32,N,0.68,0.220629047
27,abers,a,b,e,r,s,6,19,6,7,1,3,18,2,5,1,39,29,N,0.68,0.145004625
28,abets,a,b,e,t,s,6,19,6,3,1,3,18,2,8,1,35,32,N,0.56,0.220629047
29,abhor,a,b,h,o,r,6,19,24,8,7,3,18,16,4,5,64,46,Y,0.99,0.684397163
30,abide,a,b,i,d,e,6,19,3,11,2,3,18,6,11,2,41,40,Y,0.74,0.490826395
31,abies,a,b,i,e,s,6,19,3,1,1,3,18,6,2,1,30,30,N,0.39,0.165895776
32,abled,a,b,l,e,d,6,19,7,1,4,3,18,7,2,11,37,41,Y,0.62,0.52436016
33,abler,a,b,l,e,r,6,19,7,1,7,3,18,7,2,5,40,35,N,0.71,0.312365094
34,ables,a,b,l,e,s,6,19,7,1,1,3,18,7,2,1,34,31,N,0.53,0.19164354
35,ablet,a,b,l,e,t,6,19,7,1,5,3,18,7,2,8,38,38,N,0.65,0.417514647
36,ablow,a,b,l,o,w,6,19,7,8,21,3,18,7,4,21,61,53,N,0.98,0.852605612
