id,letter,letter1count,letter1rank,letter2count,letter2rank,letter3count,letter3rank,letter4count,letter4rank,letter5count,letter5rank,totalcount,totalrank
1,a,596,6,1959,1,929,2,911,2,616,5,5011,3
2,b,736,2,65,18,278,16,219,17,48,21,1346,17
3,c,724,3,136,14,336,12,259,16,96,16,1551,15
4,d,574,8,64,19,315,13,402,10,705,4,2060,10
5,e,231,17,1386,3,705,7,2009,1,1098,2,5429,2
6,f,462,12,16,24,153,21,198,19,56,20,885,20
7,g,523,9,64,19,297,15,347,12,102,15,1333,18
8,h,420,13,402,8,111,24,207,18,231,12,1371,16
9,i,131,23,1181,4,785,4,722,4,269,11,3088,6
10,j,182,20,9,26,43,25,27,24,3,26,264,24
11,k,356,14,85,16,260,17,448,9,146,13,1295,19
12,l,489,11,498,7,736,6,609,5,320,10,2652,7
13,m,586,7,150,13,450,11,334,14,140,14,1660,12
14,n,288,16,258,9,825,3,606,6,400,8,2377,9
15,o,221,18,1817,2,749,5,566,8,331,9,3684,4
16,p,717,4,170,11,306,14,368,11,91,17,1652,13
17,q,55,25,10,25,12,26,2,26,4,24,83,26
18,r,523,9,673,6,1035,1,567,7,461,7,3259,5
19,s,1199,1,77,17,453,10,345,13,3922,1,5996,1
20,t,666,5,162,12,505,8,759,3,474,6,2566,8
21,u,156,22,1001,5,502,9,319,15,66,18,2044,11
22,v,199,19,37,22,191,19,110,20,4,24,541,22
23,w,330,15,119,15,245,18,103,23,47,22,844,21
24,x,16,26,43,21,121,23,9,25,62,19,251,25
25,y,175,21,248,10,184,20,105,22,937,3,1649,14
26,z,102,24,27,23,131,22,106,21,28,23,394,23
