id,word,letter1,letter2,letter3,letter4,letter5,letter1rank,letter2rank,letter3rank,letter4rank,letter5rank,totalrank
1,aahed,a,a,h,e,d,6,1,24,1,4,36
2,aalii,a,a,l,i,i,6,1,6,4,11,28
3,aargh,a,a,r,g,h,6,1,1,12,12,32
4,aarti,a,a,r,t,i,6,1,1,3,11,22
5,abaca,a,b,a,c,a,6,18,2,16,5,47
6,abaci,a,b,a,c,i,6,18,2,16,11,53
7,abacs,a,b,a,c,s,6,18,2,16,1,43
8,abaft,a,b,a,f,t,6,18,2,19,6,51
9,abaka,a,b,a,k,a,6,18,2,9,5,40
10,abamp,a,b,a,m,p,6,18,2,14,17,57
11,aband,a,b,a,n,d,6,18,2,6,4,36
12,abash,a,b,a,s,h,6,18,2,13,12,51
13,abask,a,b,a,s,k,6,18,2,13,13,52
14,abaya,a,b,a,y,a,6,18,2,22,5,53
15,abbas,a,b,b,a,s,6,18,16,2,1,43
16,abbed,a,b,b,e,d,6,18,16,1,4,45
17,abbes,a,b,b,e,s,6,18,16,1,1,42
18,abcee,a,b,c,e,e,6,18,12,1,2,39
19,abeam,a,b,e,a,m,6,18,7,2,14,47
20,abear,a,b,e,a,r,6,18,7,2,7,40
21,abele,a,b,e,l,e,6,18,7,5,2,38
22,abers,a,b,e,r,s,6,18,7,7,1,39
23,abets,a,b,e,t,s,6,18,7,3,1,35
24,abies,a,b,i,e,s,6,18,4,1,1,30
25,abler,a,b,l,e,r,6,18,6,1,7,38
26,ables,a,b,l,e,s,6,18,6,1,1,32
27,ablet,a,b,l,e,t,6,18,6,1,6,37
28,ablow,a,b,l,o,w,6,18,6,8,22,60
29,abmho,a,b,m,h,o,6,18,11,18,9,62
30,abohm,a,b,o,h,m,6,18,5,18,14,61
31,aboil,a,b,o,i,l,6,18,5,4,10,43
32,aboma,a,b,o,m,a,6,18,5,14,5,48
33,aboon,a,b,o,o,n,6,18,5,8,8,45
34,abord,a,b,o,r,d,6,18,5,7,4,40
35,abore,a,b,o,r,e,6,18,5,7,2,38
36,abram,a,b,r,a,m,6,18,1,2,14,41
37,abray,a,b,r,a,y,6,18,1,2,3,30
38,abrim,a,b,r,i,m,6,18,1,4,14,43
39,abrin,a,b,r,i,n,6,18,1,4,8,37
40,abris,a,b,r,i,s,6,18,1,4,1,30
41,absey,a,b,s,e,y,6,18,10,1,3,38
42,absit,a,b,s,i,t,6,18,10,4,6,44
43,abuna,a,b,u,n,a,6,18,9,6,5,44
44,abune,a,b,u,n,e,6,18,9,6,2,41
45,abuts,a,b,u,t,s,6,18,9,3,1,37
46,abuzz,a,b,u,z,z,6,18,9,21,23,77
47,abyes,a,b,y,e,s,6,18,20,1,1,46
48,abysm,a,b,y,s,m,6,18,20,13,14,71
49,acais,a,c,a,i,s,6,14,2,4,1,27
50,acari,a,c,a,r,i,6,14,2,7,11,40
51,accas,a,c,c,a,s,6,14,12,2,1,35
52,accoy,a,c,c,o,y,6,14,12,8,3,43
53,acerb,a,c,e,r,b,6,14,7,7,21,55
54,acers,a,c,e,r,s,6,14,7,7,1,35
55,aceta,a,c,e,t,a,6,14,7,3,5,35
56,achar,a,c,h,a,r,6,14,24,2,7,53
57,ached,a,c,h,e,d,6,14,24,1,4,49
58,aches,a,c,h,e,s,6,14,24,1,1,46
59,achoo,a,c,h,o,o,6,14,24,8,9,61
60,acids,a,c,i,d,s,6,14,4,10,1,35
61,acidy,a,c,i,d,y,6,14,4,10,3,37
62,acing,a,c,i,n,g,6,14,4,6,15,45
63,acini,a,c,i,n,i,6,14,4,6,11,41
64,ackee,a,c,k,e,e,6,14,17,1,2,40
65,acker,a,c,k,e,r,6,14,17,1,7,45
66,acmes,a,c,m,e,s,6,14,11,1,1,33
67,acmic,a,c,m,i,c,6,14,11,4,16,51
68,acned,a,c,n,e,d,6,14,3,1,4,28
69,acnes,a,c,n,e,s,6,14,3,1,1,25
70,acock,a,c,o,c,k,6,14,5,16,13,54
71,acold,a,c,o,l,d,6,14,5,5,4,34
72,acred,a,c,r,e,d,6,14,1,1,4,26
73,acres,a,c,r,e,s,6,14,1,1,1,23
74,acros,a,c,r,o,s,6,14,1,8,1,30
75,acted,a,c,t,e,d,6,14,8,1,4,33
76,actin,a,c,t,i,n,6,14,8,4,8,40
77,acton,a,c,t,o,n,6,14,8,8,8,44
78,acyls,a,c,y,l,s,6,14,20,5,1,46
79,adaws,a,d,a,w,s,6,19,2,23,1,51
